# M1	M2	CLs_EXP	CLs_OBS	CLs_NN_EXP	CLs_NN_OBS
1.000000000000000000e+02 1.000000000000000000e+00 9.200571494581674115e-01 7.837242920776198440e-01 8.880096591632571368e-01 8.175433506673438488e-01
1.200000000000000000e+02 1.000000000000000000e+00 9.861208399682391823e-01 9.473100733251327288e-01 9.480889601388795551e-01 8.963215983647833118e-01
1.200000000000000000e+02 4.000000000000000000e+01 8.713734154348066197e-01 6.503589798926028287e-01 8.802773120294695719e-01 7.776550529327385108e-01
1.400000000000000000e+02 1.000000000000000000e+00 9.990609652495849868e-01 9.934099854527402851e-01 9.886644342797189511e-01 9.559506326240001517e-01
1.400000000000000000e+02 4.000000000000000000e+01 9.849370725467310184e-01 9.424494693618628016e-01 9.591693357508482842e-01 8.976564671445002030e-01
1.600000000000000000e+02 1.000000000000000000e+02 1.849406869593376301e-01 1.560759023592240835e-01 6.074419720308779080e-01 8.332299268238431145e-01
1.600000000000000000e+02 1.000000000000000000e+00 9.998373849023749482e-01 9.986746702135739229e-01 9.942777285742379068e-01 9.678691399580050536e-01
1.600000000000000000e+02 4.000000000000000000e+01 9.991704496866667951e-01 9.943368139058706978e-01 9.914108397517510385e-01 9.602059227747109516e-01
1.600000000000000000e+02 8.000000000000000000e+01 7.712876350642567935e-01 5.653944164146945672e-01 7.896469861611018493e-01 8.013926561128068560e-01
1.800000000000000000e+02 1.000000000000000000e+00 9.999159111273805411e-01 9.995464557970703545e-01 9.960743536338150239e-01 9.877786980013368856e-01
1.800000000000000000e+02 4.000000000000000000e+01 9.990071570808738421e-01 9.967355672177854453e-01 9.769586183083519559e-01 9.658082939329075689e-01
2.000000000000000000e+02 1.200000000000000000e+02 6.543820849494305092e-01 4.312761006265531938e-01 7.445493829093563498e-01 8.000925794093577403e-01
2.000000000000000000e+02 1.000000000000000000e+00 9.999640031926124717e-01 9.998816106397834247e-01 9.931952321649911708e-01 9.948845874372840292e-01
2.000000000000000000e+02 4.000000000000000000e+01 9.998871297423236326e-01 9.995848093501056297e-01 9.925746545788417530e-01 9.915005115851311945e-01
2.000000000000000000e+02 8.000000000000000000e+01 9.902862024643244165e-01 9.688108169586564511e-01 9.415421374134486099e-01 9.133145571980791910e-01
2.200000000000000000e+02 1.000000000000000000e+00 9.999582706362298845e-01 9.999688039310110632e-01 9.907659337220120488e-01 9.984608097863773013e-01
2.200000000000000000e+02 4.000000000000000000e+01 9.996145292042053487e-01 9.987857367086863114e-01 9.846042819798362933e-01 9.747013462549308782e-01
2.400000000000000000e+02 1.200000000000000000e+02 9.541128868276677055e-01 9.184518762884790188e-01 8.469396113965169670e-01 8.992653169092246213e-01
2.400000000000000000e+02 1.600000000000000000e+02 3.966864197245210111e-01 2.840196726497580260e-01 6.093329993058680394e-01 8.406787348712789765e-01
2.400000000000000000e+02 1.000000000000000000e+00 9.993449818924303729e-01 9.988859249354253844e-01 9.726347590412648403e-01 9.867191781197430789e-01
2.400000000000000000e+02 4.000000000000000000e+01 9.998214855104874399e-01 9.993689464790106447e-01 9.912704173683490882e-01 9.903019463384594712e-01
2.400000000000000000e+02 8.000000000000000000e+01 9.922407039440354071e-01 9.850635888679450947e-01 9.132884602211079894e-01 9.366415595662139770e-01
2.600000000000000000e+02 1.000000000000000000e+00 9.992303230652143098e-01 9.992595984997820757e-01 9.535589236423324122e-01 9.911164546865247615e-01
2.600000000000000000e+02 4.000000000000000000e+01 9.968519587667071802e-01 9.955992760810266073e-01 9.290548674758671854e-01 9.703344036091136049e-01
2.800000000000000000e+02 1.200000000000000000e+02 9.817842111459399446e-01 9.855641679187340243e-01 8.258504980606128365e-01 9.698102103868517787e-01
2.800000000000000000e+02 1.600000000000000000e+02 8.227654017386004659e-01 6.887187269328871597e-01 7.773159398717683910e-01 8.319733410562464293e-01
2.800000000000000000e+02 1.000000000000000000e+00 9.967323275640396218e-01 9.970301877683638292e-01 9.420068697979702144e-01 9.878546589171061099e-01
2.800000000000000000e+02 2.000000000000000000e+02 2.651478987551694200e-01 2.095785789282496037e-01 5.865301339881092701e-01 8.434645968879409539e-01
2.800000000000000000e+02 4.000000000000000000e+01 9.983344217204364046e-01 9.980976839097511766e-01 9.326564951858223873e-01 9.839684198164357909e-01
2.800000000000000000e+02 8.000000000000000000e+01 9.966851989529843525e-01 9.957136222041865770e-01 9.340359616147320132e-01 9.809111528556532233e-01
3.000000000000000000e+02 1.000000000000000000e+00 9.952332845153620822e-01 9.959690284083417833e-01 8.847688118813374913e-01 9.795727358989364530e-01
3.000000000000000000e+02 4.000000000000000000e+01 9.952892992018173013e-01 9.963101399380774881e-01 9.001134903249075059e-01 9.841360493342584670e-01
3.200000000000000000e+02 1.200000000000000000e+02 9.563100282971768173e-01 9.574013168352254466e-01 7.597853055988295079e-01 9.371783375733035992e-01
3.200000000000000000e+02 1.600000000000000000e+02 9.277692462725620759e-01 9.411947854705684513e-01 7.378183553585286880e-01 9.453761227257999611e-01
3.200000000000000000e+02 1.000000000000000000e+00 9.925223021925549949e-01 9.946757825766080474e-01 8.911100156800700889e-01 9.858782346889894965e-01
3.200000000000000000e+02 2.000000000000000000e+02 6.154903954860431181e-01 5.794795886181598465e-01 6.032277074602545586e-01 8.590524354182482725e-01
3.200000000000000000e+02 4.000000000000000000e+01 9.917134246995445990e-01 9.924803937983357471e-01 8.667415997121561411e-01 9.740490495697874396e-01
3.200000000000000000e+02 8.000000000000000000e+01 9.850366068816234222e-01 9.920479910038851878e-01 8.057655922062021414e-01 9.774193117095228978e-01
3.400000000000000000e+02 1.000000000000000000e+00 9.849452662917557166e-01 9.934835930026391093e-01 7.870065714815055458e-01 9.831810767164967935e-01
3.400000000000000000e+02 4.000000000000000000e+01 9.867125143895422168e-01 9.924273092324517043e-01 8.404533941346317150e-01 9.806903749125179814e-01
3.600000000000000000e+02 1.200000000000000000e+02 9.056226965757745440e-01 9.281096422816823566e-01 6.654314906857285994e-01 9.375585353984132730e-01
3.600000000000000000e+02 1.600000000000000000e+02 8.758183993776322840e-01 9.127364865770201119e-01 6.473819366870793290e-01 9.381919285005511089e-01
